primary_identifier,next_month_plan
2003793,2
1776101,2
6945050,3
2472049,3
7197266,2
2099980,1
4515595,1
4155971,1
4203824,2
4397850,4
5564784,2
8042819,2
4887835,2
7876737,2
8586725,3
4192710,3
8692886,1
2734029,1
8619873,2
8591720,5
2736902,2
1302512,7
6236339,3
2515939,1
4007286,3
4189111,3
1198957,2
7630599,1
5179554,1
3849110,2
9921234,7
7846621,1
3063762,3
7230281,2
7645170,1
9834627,1
1561943,7
8159623,7
4745105,2
6238198,3
6536712,2
6835837,2
9840782,4
9817473,5
4677724,2
8757935,6
9670187,1
1530338,3
4057212,4
8766616,3
7031680,2
1491069,4
7532437,6
9660215,1
4478979,1
8803684,2
2673030,4
3225354,1
7152868,2
3179169,1
2224348,2
7604192,5
3982237,1
5566730,1
5654973,2
1776383,2
3854674,2
1919483,4
4651764,1
4474656,2
1795642,2
6065257,1
2785623,3
6818861,4
5879576,6
6302710,1
7664304,3
7612029,4
2827711,3
2466639,2
7181670,1
4657905,1
9911891,5
1812207,3
5788490,1
2018132,3
4750385,2
7389653,3
4829600,2
5870369,2
1664193,2
5738994,3
3891124,1
4956977,2
2280455,2
5442145,1
9690915,3
2879482,3
1676804,1
1413694,2
9095217,1
3440394,3
7639903,1
7843616,4
8658882,1
1129960,2
2195886,2
4147033,2
7484224,3
1053494,2
5054202,1
7522183,1
9272428,7
2668629,2
6887862,1
2408222,2
6827205,2
5479278,1
7293700,4
6211646,1
2287562,4
9906740,3
6712888,2
7215367,3
4619709,7
4991295,3
8862316,3
1405780,5
2823054,1
6666497,5
8970659,2
5808184,1
5629721,2
1354971,7
7028838,1
6628173,2
2450232,1
1158974,1
3553918,8
7451075,4
6551842,3
2712784,4
6403752,3
2917990,2
2290191,2
2806364,1
2547943,3
1106746,8
9535518,2
5828115,1
3576888,1
1261876,1
6435719,4
1906946,2
4965840,1
9299909,1
1472878,2
1754200,5
4550812,6
6195783,4
1827020,2
1143355,1
7463157,1
6548879,1
3315170,4
7683859,1
8096711,3
6037264,5
3882846,4
5924179,4
5703892,1
1145961,3
2437167,4
1280772,1
2527454,1
6522603,1
8349253,1
8041643,2
2504295,5
3880218,2
9117275,2
2941924,1
2318131,2
4759027,1
3193576,1
6501833,2
2086725,7
1741042,2
9227318,5
2159580,3
4113682,2
8022158,1
8762907,2
9452509,2
8942397,2
1349385,1
8647776,5
1693664,4
1006766,1
6504706,2
1175738,2
3112039,5
3651976,4
8932144,4
3136993,3
4370183,1
4669473,2
5221252,2
8266878,2
3586170,4
2713847,2
8937390,2
2461650,1
6694423,2
9887579,7
