primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,4
2472049,1
7197266,2
2099980,1
4515595,1
4155971,1
4203824,1
4397850,4
5564784,3
8042819,4
4887835,1
7876737,1
8586725,1
4192710,5
8692886,5
2734029,1
8619873,1
8591720,8
2736902,4
1302512,7
6236339,8
2515939,1
4007286,1
4189111,7
1198957,4
7630599,2
5179554,2
3849110,7
9921234,7
7846621,1
3063762,7
7230281,1
7645170,1
9834627,3
1561943,3
8159623,7
4745105,4
6238198,2
6536712,1
6835837,3
9840782,8
9817473,2
4677724,1
8757935,1
9670187,3
1530338,7
4057212,2
8766616,1
7031680,1
1491069,4
7532437,6
9660215,1
4478979,3
8803684,2
2673030,1
3225354,4
7152868,6
3179169,2
2224348,8
7604192,4
3982237,2
5566730,1
5654973,5
1776383,1
3854674,2
1919483,5
4651764,2
4474656,1
1795642,7
6065257,1
2785623,6
6818861,2
5879576,6
6302710,2
7664304,1
7612029,5
2827711,4
2466639,4
7181670,3
4657905,1
9911891,6
1812207,1
5788490,1
2018132,3
4750385,2
7389653,1
4829600,4
5870369,3
1664193,2
5738994,5
3891124,1
4956977,1
2280455,3
5442145,1
9690915,3
2879482,5
1676804,1
1413694,1
9095217,1
3440394,4
7639903,4
7843616,4
8658882,1
1129960,5
2195886,1
4147033,2
7484224,4
1053494,4
5054202,5
7522183,1
9272428,5
2668629,1
6887862,5
2408222,5
6827205,1
5479278,1
7293700,3
6211646,6
2287562,4
9906740,3
6712888,2
7215367,2
4619709,1
4991295,1
8862316,1
1405780,2
2823054,1
6666497,7
8970659,3
5808184,2
5629721,1
1354971,8
7028838,3
6628173,5
2450232,1
1158974,1
3553918,4
7451075,5
6551842,8
2712784,8
6403752,4
2917990,2
2290191,1
2806364,1
2547943,1
1106746,8
9535518,5
5828115,1
3576888,2
1261876,3
6435719,8
1906946,3
4965840,2
9299909,3
1472878,1
1754200,5
4550812,8
6195783,1
1827020,1
1143355,2
7463157,3
6548879,3
3315170,4
7683859,4
8096711,1
6037264,5
3882846,1
5924179,4
5703892,1
1145961,6
2437167,4
1280772,2
2527454,5
6522603,1
8349253,1
8041643,5
2504295,6
3880218,2
9117275,5
2941924,1
2318131,5
4759027,4
3193576,5
6501833,1
2086725,4
1741042,2
9227318,8
2159580,5
4113682,2
8022158,1
8762907,5
9452509,4
8942397,1
1349385,3
8647776,5
1693664,4
1006766,2
