primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,1
2472049,1
7197266,1
2099980,1
4515595,1
4155971,1
4203824,1
4397850,1
5564784,3
8042819,3
4887835,2
7876737,1
8586725,1
4192710,5
8692886,5
2734029,1
8619873,1
8591720,8
2736902,3
1302512,5
6236339,6
2515939,1
4007286,3
4189111,5
1198957,4
7630599,1
5179554,3
3849110,5
9921234,6
7846621,3
3063762,6
7230281,1
7645170,1
9834627,1
1561943,5
8159623,6
4745105,2
6238198,2
6536712,2
6835837,3
9840782,6
9817473,7
4677724,2
8757935,5
9670187,1
1530338,5
4057212,5
8766616,2
7031680,1
1491069,3
7532437,6
9660215,5
4478979,3
8803684,1
2673030,4
3225354,4
7152868,6
3179169,1
2224348,6
7604192,4
3982237,5
5566730,1
5654973,1
1776383,1
3854674,2
1919483,6
4651764,2
4474656,2
1795642,7
6065257,5
2785623,6
6818861,3
5879576,6
6302710,1
7664304,2
7612029,5
2827711,3
2466639,3
7181670,1
4657905,1
9911891,6
1812207,1
5788490,5
2018132,3
4750385,2
7389653,3
4829600,3
5870369,3
1664193,5
5738994,5
3891124,1
4956977,1
2280455,1
5442145,2
9690915,2
2879482,6
1676804,1
1413694,1
9095217,1
3440394,4
7639903,1
7843616,4
8658882,1
1129960,5
2195886,1
4147033,3
7484224,6
1053494,2
5054202,4
7522183,1
9272428,5
2668629,1
6887862,5
2408222,5
6827205,1
5479278,3
7293700,3
6211646,6
2287562,4
9906740,3
6712888,6
7215367,1
4619709,1
4991295,3
8862316,3
1405780,6
2823054,1
6666497,5
8970659,4
5808184,1
5629721,1
1354971,8
7028838,2
6628173,5
2450232,1
1158974,1
3553918,4
7451075,5
6551842,8
2712784,5
6403752,3
2917990,2
2290191,3
2806364,1
2547943,3
1106746,8
9535518,5
5828115,1
3576888,1
1261876,1
6435719,6
1906946,3
4965840,1
9299909,1
1472878,1
1754200,5
4550812,8
6195783,1
1827020,2
1143355,5
7463157,1
6548879,2
3315170,4
7683859,2
8096711,1
6037264,5
3882846,3
5924179,4
5703892,1
1145961,7
2437167,4
1280772,4
2527454,6
6522603,1
8349253,1
8041643,5
2504295,8
3880218,6
9117275,5
2941924,1
2318131,1
4759027,4
3193576,5
6501833,3
2086725,3
1741042,1
9227318,7
2159580,5
4113682,3
8022158,1
8762907,3
9452509,3
8942397,1
1349385,3
8647776,6
1693664,3
1006766,1
