,primary_identifier,device_type,device_category,gender,district_name,age_group,network_stay,average_monthly_bill_amount,dusage_sum,dusage_min,dusage_max,dusage_avg,dusage_days,dusage_stddev,vusage_onnet_sum,vusage_onnet_max,vusage_onnet_min,vusage_onnet_days,vusage_onnet_avg,vusage_onnet_stddev,vusage_offnet_sum,vusage_offnet_max,vusage_offnet_min,vusage_offnet_days,vusage_offnet_avg,vusage_offnet_stddev,number_of_fixed_bb_accounts,number_of_iptv_accounts,add_on_tot_rental,add_on_count,next_month_plan
0,6875768,4G,Smartphone,0.0,Kegalle,40-50,0.6945337620578778,0.400862540277656,0.03409090909090909,0.0,0.019672131147540985,0.0273972602739726,1.0,0.028511590576874055,0.0,0.0,0.0,0.0,0.0,0.0,0.2562452687358062,0.3202737621342272,0.0,0.9,0.23240567682344804,0.38220132872140133,0.0,0.3333333333333333,0.02666118622089461,0.03865893661838647,2
1,6406277,4G,Smartphone,0.0,Galle,40-50,0.10610932475884244,0.4573702897758374,0.1590909090909091,0.0,0.0819672131147541,0.1232876712328767,1.0,0.08292384385526343,0.0,0.0,0.0,0.0,0.0,0.0,0.028766086298258893,0.0742370277253998,0.0,0.5,0.046955537646393104,0.07454681100305044,0.0,0.0,0.030848329048843187,0.043478260869565216,1
2,3563570,4G,Smartphone,0.0,Kandy,30-40,0.5884244372990354,0.4272605152059336,0.10227272727272727,0.0,0.08852459016393444,0.0821917808219178,1.0,0.08964264089405687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
3,1853666,4G,Smartphone,1.0,Colombo,40-50,0.06752411575562701,0.4545782310043629,0.5170454545454545,0.0,0.24590163934426232,0.410958904109589,1.0,0.3144835062053515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0570694087403599,0.043478260869565216,4
4,2794331,4G,Smartphone,1.0,Kandy,50-60,0.10932475884244373,0.45800172915223925,0.10795454545454546,0.0,0.03934426229508197,0.0821917808219178,1.0,0.04760964414808065,0.0,0.0,0.0,0.0,0.0,0.0,0.09765329295987887,0.18356728821845097,0.0,0.7666666666666666,0.10422884032871677,0.17839471613664926,0.0,0.3333333333333333,0.06940874035989718,0.043478260869565216,4
5,3619017,2G,Basic,0.0,Galle,40-50,0.08681672025723472,0.3921254945536301,0.0,0.0,0.0,0.0,1.0,5.0573788208915935e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000757002271006813,0.0022347929324673514,0.0,0.1,0.006481592619900889,0.0025667421493406934,0.0,0.0,0.02666118622089461,0.03865893661838647,1
6,7633257,4G,Smartphone,0.0,Kegalle,30-40,0.10289389067524116,0.4407771925279345,0.07954545454545454,0.05714285714285714,0.03278688524590164,0.0547945205479452,1.0,0.025632488613192197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005655526992287918,0.0,5
7,5507217,4G,Smartphone,0.0,Gampaha,30-40,0.5369774919614148,0.4718996343036747,0.017045454545454544,0.0,0.036065573770491806,0.0136986301369863,1.0,0.03216194778703495,0.01429046194749086,0.02354608812064417,0.0,0.24137931034482757,0.027721113997981574,0.024036349823688304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03341902313624679,0.0,5
8,7566055,4G,Smartphone,0.0,Kalutara,20-30,0.14469453376205788,0.39140474081925564,0.017045454545454544,0.0,0.036065573770491806,0.0684931506849315,0.23333333333333334,0.048793112265294,0.002326354270521768,0.0158286411780919,0.0,0.06896551724137931,0.016120547121599278,0.010739810852466098,0.012869038607115822,0.04794329212933863,0.0,0.1,0.10499151220014058,0.05125377666929536,0.0,0.0,0.005655526992287918,0.0,2
9,7324903,4G,Smartphone,0.0,Colombo,20-30,0.2508038585209003,0.41934864220832374,0.11363636363636363,0.0,0.03934426229508197,0.0821917808219178,1.0,0.048423616190111866,0.002326354270521768,0.017482379808638815,0.0,0.034482758620689655,0.03336840523072298,0.011047573035202585,0.004163512490537471,0.014281723584049163,0.0,0.2,0.01779865909909292,0.014414028894470621,0.0,0.0,0.018508997429305913,0.043478260869565216,2
10,4058040,4G,Smartphone,1.0,Kalutara,30-40,0.19614147909967844,0.4288087401979955,0.06249999999999999,0.0,0.036065573770491806,0.0410958904109589,1.0,0.035882060889018734,0.0,0.0,0.0,0.0,0.0,0.0,0.010219530658591975,0.023919268105314608,0.0,0.23333333333333334,0.03666288614590197,0.029135145531833953,0.0,0.0,0.038046272493573265,0.043478260869565216,3
11,9835417,4G,Smartphone,1.0,Kurunegala,30-40,0.0932475884244373,0.37585386332210663,0.0,0.0,0.0032786885245901644,0.0,0.13333333333333333,0.005269523934664501,0.0,0.0,0.0,0.0,0.0,0.0,0.000757002271006813,0.004364829946225294,0.0,0.06666666666666667,0.01188291980315163,0.008555904922219047,0.0,0.0,0.005655526992287918,0.0,1
12,8104537,4G,Smartphone,0.0,Gampaha,30-40,0.07395498392282958,0.43453470995654786,0.05681818181818181,0.0,0.03278688524590164,0.0410958904109589,1.0,0.03266197858307308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666118622089461,0.03865893661838647,5
